team_name,comeback_count,total_matches,comeback_rate,throw_rate,mental_score
Natus Vincere,17,89,0.19101123595505617,0.07865168539325842,0.11235955056179775
Team Falcons,12,123,0.0975609756097561,0.11382113821138211,-0.016260162601626008
Team Spirit,11,107,0.102803738317757,0.04672897196261682,0.056074766355140186
Tundra Esports,11,140,0.07857142857142857,0.07857142857142857,0.0
Aurora Gaming,8,88,0.09090909090909091,0.06818181818181818,0.022727272727272735
Team Liquid,8,134,0.05970149253731343,0.04477611940298507,0.01492537313432836
MOUZ,7,146,0.04794520547945205,0.0273972602739726,0.02054794520547945
Xtreme Gaming,6,101,0.0594059405940594,0.019801980198019802,0.0396039603960396
PARIVISION,5,87,0.05747126436781609,0.08045977011494253,-0.022988505747126436
HEROIC,5,96,0.052083333333333336,0.052083333333333336,0.0
Yakult Brothers,4,78,0.05128205128205128,0.10256410256410256,-0.05128205128205128
Team Yandex,3,105,0.02857142857142857,0.05714285714285714,-0.02857142857142857
BetBoom Team,3,111,0.02702702702702703,0.05405405405405406,-0.02702702702702703
Nigma Galaxy,3,34,0.08823529411764706,0.08823529411764706,0.0
GamerLegion,2,56,0.03571428571428571,0.05357142857142857,-0.017857142857142856
Team Nemesis,2,16,0.125,0.0625,0.0625
Pipsqueak+4,1,14,0.07142857142857142,0.07142857142857142,0.0
Execration,1,40,0.025,0.05,-0.025
OG,1,84,0.011904761904761904,0.047619047619047616,-0.03571428571428571
Team Tidebound,1,35,0.02857142857142857,0.14285714285714285,-0.11428571428571428
paiN Gaming,1,13,0.07692307692307693,0.07692307692307693,0.0
Vici Gaming,1,12,0.08333333333333333,0.08333333333333333,0.0
